Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Feels Lonely
5,2,5,3,2,3,2,3,Rarely,few hours a day,4,17,1,female,village,False
5,1,3,1,1,1,3,4,Rarely,few hours a day,3,17,2,female,city,False
5,2,4,4,3,5,1,1,Rarely,few hours a day,3,21,2,female,city,True
5,1,5,4,3,1,2,2,Rarely,few hours a day,3,20,5,male,city,False
5,2,4,5,1,4,4,2,Rarely,few hours a day,4,22,0,female,city,False
5,3,5,2,5,5,5,3,Rarely,few hours a day,5,19,0,female,city,False
5,4,5,5,2,2,4,4,Rarely,few hours a day,2,20,1,female,city,True
5,1,5,5,4,5,1,1,Rarely,less than an hour a day,3,22,1,female,city,False
5,1,4,2,4,3,2,3,Rarely,few hours a day,4,24,2,male,village,False
5,5,5,4,4,1,1,3,Rarely,few hours a day,3,21,1,male,city,False
5,3,5,3,4,5,2,4,Rarely,few hours a day,3,20,1,male,city,False
5,2,5,3,5,5,3,5,Rarely,few hours a day,5,18,4,female,village,False
5,1,5,2,2,5,3,3,Rarely,few hours a day,2,20,3,female,city,True
5,3,3,2,3,1,4,2,Rarely,few hours a day,2,18,1,male,city,False
4,1,5,1,5,5,1,2,Rarely,few hours a day,3,19,2,female,city,False
5,5,5,3,2,4,3,3,Rarely,few hours a day,4,22,1,male,city,False
5,2,5,4,4,1,5,5,Rarely,most of the day,2,22,1,female,city,False
5,3,3,2,1,2,1,3,Rarely,few hours a day,4,22,1,male,city,False
5,3,3,3,1,4,1,2,Rarely,few hours a day,2,18,2,female,city,False
5,3,5,3,1,5,1,3,Rarely,few hours a day,1,16,1,female,city,False
5,1,5,5,1,1,5,4,Rarely,most of the day,5,19,1,female,village,False
5,1,4,1,1,1,5,1,Rarely,less than an hour a day,3,22,1,female,city,False
5,2,5,3,1,1,5,3,Rarely,few hours a day,1,19,1,male,city,False
5,1,5,3,1,1,1,2,Rarely,few hours a day,1,29,1,male,city,True
5,1,4,2,4,2,2,4,Rarely,few hours a day,3,27,1,male,city,True
5,1,5,2,4,2,1,2,Rarely,most of the day,4,20,1,female,city,False
4,1,4,5,2,2,2,4,Rarely,few hours a day,3,20,1,male,city,False
5,1,4,5,2,3,2,4,Rarely,few hours a day,3,20,1,male,city,False
4,4,NaN,2,5,3,3,3,Rarely,few hours a day,3,20,1,female,village,False
5,5,5,4,2,5,5,3,Rarely,few hours a day,5,23,1,female,village,False
3,4,5,5,3,1,4,3,Rarely,few hours a day,5,22,3,male,city,False
3,1,5,2,4,4,1,2,Rarely,few hours a day,3,24,0,female,village,False
5,2,4,5,1,4,1,2,Rarely,most of the day,1,19,0,male,city,False
5,2,5,5,3,3,1,5,Rarely,few hours a day,1,20,1,female,city,True
5,5,5,NaN,1,5,5,2,Rarely,few hours a day,3,22,2,female,city,False
4,4,4,3,1,1,1,2,Rarely,most of the day,3,20,2,male,city,False
5,3,5,3,3,3,1,2,Rarely,few hours a day,2,20,1,male,village,True
5,3,5,2,1,4,2,4,Rarely,most of the day,3,30,3,male,city,False
5,4,5,2,5,4,4,4,Rarely,few hours a day,1,18,1,female,village,True
5,4,5,4,5,1,2,3,Rarely,most of the day,2,22,2,male,city,False
5,3,4,2,4,5,5,2,Rarely,few hours a day,3,18,3,female,city,True
5,3,5,3,3,1,1,3,Rarely,few hours a day,2,25,1,male,city,True
5,1,5,2,2,3,4,2,Rarely,few hours a day,1,19,2,female,city,False
3,2,5,4,3,1,5,2,Rarely,few hours a day,2,28,1,female,city,True
5,1,5,5,3,3,1,1,Rarely,few hours a day,2,19,3,female,village,True
5,4,5,3,3,1,1,4,Rarely,most of the day,4,22,2,male,city,True
5,1,3,3,1,1,1,1,Rarely,less than an hour a day,3,20,1,female,city,False
5,2,5,5,1,1,4,4,Rarely,few hours a day,1,22,1,female,city,False
3,2,3,3,2,3,3,3,Rarely,few hours a day,2,21,1,male,city,False
5,4,5,2,3,5,1,3,Rarely,few hours a day,3,23,1,male,city,False
5,3,5,3,1,5,5,3,Rarely,few hours a day,4,19,0,female,city,True
5,2,5,1,4,1,1,2,Rarely,few hours a day,2,21,1,male,city,True
5,1,5,3,1,2,5,2,Rarely,few hours a day,1,21,1,female,city,True
5,2,3,4,2,4,2,2,Sometimes,few hours a day,2,19,1,female,city,False
5,4,5,2,2,4,2,3,Sometimes,less than an hour a day,4,22,0,female,village,False
5,2,5,2,3,5,5,1,Sometimes,few hours a day,4,19,1,female,city,False
5,1,5,5,1,3,1,4,Sometimes,few hours a day,1,21,3,male,city,False
5,1,4,2,1,5,2,2,Sometimes,less than an hour a day,4,21,1,female,city,True
4,1,3,3,1,3,1,1,Sometimes,few hours a day,4,20,1,female,city,False
5,1,5,3,1,3,5,2,Sometimes,less than an hour a day,2,21,1,female,city,False
5,2,5,3,3,1,3,3,Sometimes,less than an hour a day,5,20,1,female,city,True
5,5,5,4,1,4,3,NaN,Sometimes,few hours a day,2,21,2,male,village,True
5,3,5,2,2,3,2,4,Sometimes,most of the day,4,17,2,male,city,False
5,1,5,1,1,3,1,1,Sometimes,less than an hour a day,2,21,2,male,city,False
5,5,4,3,3,1,5,3,Sometimes,few hours a day,3,19,1,female,city,False
4,2,5,2,1,1,2,1,Sometimes,few hours a day,3,22,1,male,city,False
5,1,4,4,1,5,3,3,Sometimes,few hours a day,2,21,1,female,city,False
5,1,5,5,1,5,3,3,Sometimes,most of the day,3,21,0,female,village,False
5,2,5,2,2,2,4,2,Sometimes,few hours a day,3,23,3,female,city,False
5,2,5,3,1,5,5,4,Sometimes,few hours a day,2,17,1,female,city,False
4,3,5,4,2,3,3,2,Sometimes,few hours a day,5,22,1,male,village,False
5,1,5,5,1,5,5,5,Sometimes,few hours a day,3,21,1,female,city,False
5,4,5,2,1,5,5,4,Sometimes,most of the day,3,18,0,female,city,False
5,4,5,5,1,2,1,2,Sometimes,few hours a day,5,22,1,male,city,True
4,3,4,4,3,4,4,3,Sometimes,few hours a day,4,24,2,male,village,True
5,1,5,1,1,3,4,3,Sometimes,most of the day,3,24,1,female,city,True
4,3,5,3,2,5,4,4,Sometimes,few hours a day,5,19,1,male,city,False
5,3,5,3,3,5,4,3,Sometimes,most of the day,2,18,0,female,city,True
5,4,5,1,5,4,1,1,Sometimes,few hours a day,4,22,3,male,city,False
5,2,NaN,4,5,5,1,2,Sometimes,less than an hour a day,2,29,1,male,village,False
5,1,5,2,3,1,3,5,Sometimes,few hours a day,3,18,1,male,city,False
5,3,5,3,4,5,4,2,Sometimes,few hours a day,2,18,1,female,village,False
5,2,5,3,5,1,3,2,Sometimes,few hours a day,2,27,4,male,city,False
5,5,3,2,1,4,1,5,Sometimes,few hours a day,4,20,0,male,city,False
5,1,2,2,3,2,1,5,Sometimes,few hours a day,4,20,1,male,village,False
5,1,5,3,2,5,3,3,Sometimes,few hours a day,3,19,1,female,village,False
5,5,5,4,5,3,4,3,Sometimes,few hours a day,5,28,1,female,city,False
5,5,5,5,5,2,2,4,Sometimes,most of the day,1,19,0,male,city,False
5,5,5,1,1,1,3,1,Sometimes,few hours a day,1,19,0,male,city,True
5,2,5,3,3,1,3,1,Sometimes,few hours a day,1,20,1,male,city,False
3,1,3,2,5,2,1,5,Sometimes,few hours a day,3,25,1,male,village,True
5,1,4,4,3,5,1,3,Sometimes,few hours a day,1,18,4,female,city,False
5,1,5,3,1,5,2,3,Sometimes,few hours a day,3,20,2,female,city,True
5,2,5,2,1,5,3,2,Sometimes,few hours a day,3,20,1,female,city,True
3,1,5,4,4,5,2,1,Sometimes,few hours a day,4,22,2,male,city,False
5,1,5,3,4,3,4,5,Sometimes,few hours a day,1,20,1,female,city,False
5,2,5,4,4,1,5,3,Sometimes,few hours a day,2,20,1,female,city,False
5,1,5,1,1,1,5,5,Sometimes,few hours a day,3,19,1,female,city,False
5,1,5,1,1,1,3,1,Sometimes,most of the day,1,19,3,female,village,True
5,1,5,5,1,2,5,1,Sometimes,few hours a day,4,20,2,female,village,True
5,1,5,2,2,2,5,3,Sometimes,less than an hour a day,3,19,1,female,city,True
5,2,5,3,2,5,2,2,Sometimes,most of the day,5,21,1,male,city,False
3,2,4,3,3,2,5,3,Sometimes,less than an hour a day,3,25,1,female,city,False
5,1,5,1,3,4,2,5,Sometimes,less than an hour a day,3,18,0,female,city,False
5,1,5,4,1,5,1,3,Sometimes,few hours a day,2,19,3,female,village,False
5,2,4,3,3,3,1,3,Sometimes,few hours a day,3,29,3,male,village,False
5,4,5,3,5,2,2,3,Sometimes,few hours a day,5,19,2,male,city,False
5,5,5,3,1,5,5,3,Sometimes,few hours a day,2,19,2,female,city,True
5,1,5,2,1,4,2,3,Sometimes,most of the day,3,21,0,female,city,True
5,3,5,4,2,4,3,3,Sometimes,less than an hour a day,4,19,1,female,village,False
5,2,5,3,5,1,1,3,Sometimes,few hours a day,3,19,3,female,city,False
4,3,4,2,2,2,3,5,Sometimes,few hours a day,1,19,1,male,city,False
5,4,5,1,1,1,5,3,Sometimes,few hours a day,3,18,0,female,city,True
5,1,5,1,1,4,5,5,Sometimes,few hours a day,1,18,2,female,village,False
5,1,5,1,2,5,1,3,Sometimes,few hours a day,3,19,1,female,city,True
5,2,5,2,3,5,2,4,Sometimes,few hours a day,2,18,6,female,city,True
5,4,5,3,4,1,2,4,Sometimes,few hours a day,4,19,1,female,city,False
4,4,5,1,3,2,4,3,Sometimes,few hours a day,2,19,1,male,city,False
5,3,5,3,4,4,3,2,Sometimes,few hours a day,2,19,1,female,village,False
5,1,5,2,3,NaN,4,3,Sometimes,few hours a day,5,19,1,female,village,False
5,1,5,3,2,5,1,3,Sometimes,few hours a day,1,22,1,male,village,False
5,1,5,2,2,3,4,3,Sometimes,few hours a day,5,19,1,female,village,False
5,1,5,4,1,5,1,2,Sometimes,few hours a day,1,22,2,male,city,False
5,3,5,3,2,1,1,2,Sometimes,most of the day,5,22,3,male,city,True
5,2,4,3,4,1,5,4,Sometimes,few hours a day,5,21,1,female,city,False
5,2,5,3,1,4,3,3,Sometimes,most of the day,3,25,1,female,city,False
5,1,5,5,1,1,4,5,Sometimes,most of the day,1,26,2,male,city,False
5,3,5,3,3,5,3,3,Sometimes,few hours a day,3,21,0,male,city,True
5,2,5,4,2,2,4,3,Sometimes,most of the day,2,29,1,NaN,city,True
5,4,4,2,1,2,2,3,Sometimes,less than an hour a day,3,NaN,1,female,village,False
5,1,5,3,3,5,5,5,Sometimes,few hours a day,1,17,3,female,village,False
3,3,4,2,3,5,5,3,Sometimes,few hours a day,2,18,1,female,village,False
4,3,4,2,5,3,2,3,Sometimes,few hours a day,3,19,0,male,village,False
5,1,5,1,1,2,1,5,Sometimes,most of the day,3,20,1,female,village,False
5,1,5,3,1,3,1,3,Sometimes,less than an hour a day,3,18,0,male,village,False
5,3,5,1,2,2,5,5,Sometimes,few hours a day,3,16,2,female,city,False
5,2,5,4,3,5,2,3,Sometimes,few hours a day,3,20,1,female,city,False
5,1,5,4,1,3,1,3,Sometimes,few hours a day,3,23,4,male,village,False
4,4,5,3,1,4,5,1,Sometimes,most of the day,1,17,3,male,city,False
5,5,5,3,1,4,1,3,Sometimes,less than an hour a day,3,20,1,female,village,False
5,3,5,3,3,4,4,2,Sometimes,few hours a day,1,21,3,male,city,False
5,3,5,4,1,5,5,1,Sometimes,few hours a day,4,20,1,female,village,False
5,2,5,4,2,1,2,2,Sometimes,few hours a day,3,25,3,male,city,True
5,5,5,3,1,5,5,1,Sometimes,few hours a day,1,19,1,female,city,False
5,4,5,3,3,5,1,3,Sometimes,few hours a day,1,17,2,male,village,False
5,1,5,2,3,1,1,2,Sometimes,few hours a day,2,20,3,male,village,False
5,1,4,3,2,3,5,4,Sometimes,few hours a day,3,21,1,female,village,True
5,2,4,3,3,5,1,2,Sometimes,less than an hour a day,3,22,1,male,village,False
5,3,4,2,5,4,1,3,Sometimes,most of the day,4,20,0,male,village,True
5,1,5,3,1,2,4,3,Sometimes,few hours a day,4,22,0,male,city,False
5,4,4,4,2,2,1,2,Sometimes,few hours a day,1,19,1,male,city,False
5,2,5,4,3,3,5,3,Sometimes,less than an hour a day,3,23,1,female,city,False
5,3,5,3,2,NaN,1,1,Sometimes,few hours a day,5,21,0,male,city,False
5,3,5,3,1,4,1,4,Sometimes,few hours a day,1,20,0,female,city,False
5,3,5,2,NaN,4,1,3,Sometimes,few hours a day,1,19,3,male,village,False
3,1,4,3,3,4,1,4,Sometimes,few hours a day,3,28,2,female,village,False
4,2,4,2,5,5,3,1,Sometimes,few hours a day,4,23,1,female,city,True
5,3,5,2,5,1,1,4,Sometimes,most of the day,3,20,2,male,city,False
5,1,4,5,1,3,1,3,Sometimes,few hours a day,3,20,1,male,city,True
5,3,5,3,3,1,1,4,Sometimes,few hours a day,3,21,3,male,city,False
5,2,5,3,1,5,5,4,Sometimes,few hours a day,3,21,1,female,city,False
5,4,5,2,1,5,2,1,Sometimes,few hours a day,3,18,2,female,city,False
5,2,4,4,3,1,2,3,Sometimes,no time at all,3,25,1,male,city,False
5,3,5,5,5,5,5,3,Sometimes,few hours a day,1,18,1,female,village,False
5,1,4,3,1,5,2,5,Sometimes,few hours a day,2,20,2,female,city,True
4,4,5,3,2,2,2,2,Sometimes,few hours a day,3,21,0,male,city,False
5,4,5,1,1,5,1,3,Sometimes,few hours a day,1,20,2,female,village,False
5,3,5,2,5,4,2,4,Sometimes,few hours a day,5,19,1,male,city,False
4,5,5,2,4,5,1,2,Sometimes,less than an hour a day,2,23,0,male,city,False
5,4,5,3,4,5,5,4,Sometimes,few hours a day,1,19,1,female,city,True
4,3,2,2,3,3,3,3,Sometimes,less than an hour a day,4,19,1,male,city,False
5,4,5,1,4,3,2,3,Sometimes,few hours a day,3,20,1,male,city,True
5,3,5,4,2,4,3,3,Sometimes,few hours a day,3,21,2,male,village,True
5,1,5,3,4,2,3,2,Sometimes,few hours a day,3,19,1,male,city,False
5,3,2,2,3,2,2,3,Sometimes,less than an hour a day,4,17,0,female,village,False
4,3,4,2,1,4,3,3,Sometimes,few hours a day,3,16,1,male,village,True
5,1,5,4,1,3,2,2,Sometimes,few hours a day,4,22,1,male,village,True
5,2,4,2,4,3,2,2,Sometimes,few hours a day,2,23,2,male,city,False
5,1,5,4,1,3,2,2,Sometimes,less than an hour a day,3,28,2,female,village,False
5,1,3,4,3,5,1,3,Sometimes,few hours a day,2,20,2,male,city,False
5,4,5,2,1,2,2,3,Sometimes,few hours a day,3,20,1,male,village,False
5,4,5,2,3,2,4,1,Sometimes,few hours a day,4,25,1,female,city,False
5,3,5,4,3,3,4,4,Sometimes,few hours a day,2,20,1,male,village,False
5,5,5,3,1,5,2,3,Sometimes,few hours a day,3,21,1,male,village,True
5,2,4,3,3,5,2,1,Sometimes,less than an hour a day,4,17,0,female,city,True
5,1,5,5,1,5,3,4,Sometimes,few hours a day,1,17,1,male,city,True
5,1,5,5,1,5,1,1,Sometimes,most of the day,4,29,1,female,city,True
4,1,5,2,2,5,2,3,Sometimes,few hours a day,2,21,1,female,city,False
5,1,5,4,1,1,4,3,Sometimes,few hours a day,1,20,1,female,village,False
1,4,5,2,3,2,2,2,Sometimes,few hours a day,4,19,1,male,village,False
5,1,3,3,1,2,5,2,Sometimes,few hours a day,1,20,1,female,village,False
5,2,5,4,3,3,4,2,Sometimes,few hours a day,2,NaN,NaN,male,city,False
3,2,5,3,2,1,2,3,Sometimes,few hours a day,4,19,1,male,city,True
4,1,5,2,1,5,2,2,Sometimes,few hours a day,2,23,1,female,city,False
5,3,5,5,1,5,5,3,Sometimes,few hours a day,4,20,1,female,city,True
4,1,5,5,2,4,3,3,Sometimes,most of the day,1,20,1,female,city,False
5,3,5,4,4,5,4,2,Sometimes,few hours a day,2,17,1,female,city,False
3,1,5,5,2,1,1,5,Sometimes,few hours a day,4,20,2,male,village,False
5,4,5,3,2,5,2,3,Sometimes,few hours a day,2,20,1,male,city,True
5,5,5,3,1,4,3,1,Sometimes,few hours a day,2,20,2,male,city,False
4,1,5,4,4,1,3,3,Sometimes,few hours a day,3,19,0,male,city,True
5,3,5,5,1,2,1,1,Sometimes,few hours a day,4,23,1,male,city,True
5,3,5,4,3,2,5,4,Sometimes,few hours a day,4,21,1,female,city,False
4,1,5,4,1,4,1,4,Sometimes,few hours a day,1,21,1,male,city,False
5,1,5,5,3,1,3,1,Sometimes,few hours a day,3,NaN,NaN,female,city,False
5,4,5,5,5,5,1,3,Sometimes,few hours a day,5,20,3,male,village,False
5,2,3,3,2,4,3,3,Sometimes,few hours a day,4,21,3,male,city,False
5,4,5,5,1,1,5,5,Sometimes,few hours a day,3,17,2,female,city,False
5,3,5,2,5,4,1,2,Sometimes,few hours a day,3,19,2,male,city,False
5,1,5,2,4,3,2,5,Sometimes,few hours a day,1,22,1,male,city,False
5,1,4,2,1,4,2,2,Sometimes,most of the day,4,20,2,female,city,False
5,1,5,3,2,4,1,4,Sometimes,most of the day,3,20,2,male,city,False
5,2,5,5,3,4,4,2,Sometimes,few hours a day,3,19,0,male,city,False
4,4,4,5,5,1,1,3,Sometimes,few hours a day,1,19,3,female,city,False
5,NaN,5,5,4,1,1,5,Sometimes,few hours a day,1,19,0,male,city,False
5,5,3,5,1,1,1,5,Sometimes,most of the day,3,30,2,female,village,False
4,5,4,5,5,1,5,3,Sometimes,most of the day,1,30,1,male,city,False
5,2,5,1,1,2,3,4,Sometimes,few hours a day,4,21,0,female,city,False
5,5,5,3,5,1,1,2,Sometimes,few hours a day,4,28,1,male,city,False
5,5,4,4,5,1,2,3,Sometimes,few hours a day,3,19,1,male,city,True
5,2,5,2,1,4,5,2,Sometimes,few hours a day,2,22,2,female,village,True
4,4,3,4,1,4,1,2,Sometimes,few hours a day,2,24,2,male,village,True
5,1,4,5,5,5,2,2,Sometimes,few hours a day,3,19,1,female,city,False
5,3,5,4,1,5,5,5,Sometimes,most of the day,5,15,0,male,village,True
4,1,5,5,2,4,1,4,Sometimes,most of the day,4,21,1,female,village,True
4,1,3,3,1,1,3,1,Sometimes,few hours a day,3,20,2,female,city,False
5,4,5,2,3,5,5,3,Sometimes,few hours a day,3,20,1,female,city,True
5,1,5,2,3,1,1,2,Sometimes,few hours a day,4,22,1,male,city,False
3,3,3,4,3,3,2,1,Sometimes,few hours a day,3,27,1,female,city,True
5,3,5,3,1,1,5,5,Sometimes,few hours a day,3,18,5,female,city,False
5,1,5,4,2,5,5,4,Sometimes,few hours a day,3,17,3,female,city,False
5,1,5,4,3,4,5,3,Sometimes,few hours a day,4,20,1,female,city,False
5,4,5,2,2,4,4,2,Sometimes,few hours a day,2,19,0,NaN,city,False
4,3,4,2,2,2,5,4,Sometimes,few hours a day,2,21,0,female,city,False
5,5,5,4,1,5,1,5,Sometimes,most of the day,4,24,0,male,village,False
4,2,5,3,4,5,2,2,Sometimes,less than an hour a day,2,22,2,female,city,False
5,1,3,4,5,5,1,1,Sometimes,few hours a day,1,22,1,male,city,True
5,2,5,3,1,1,4,4,Sometimes,few hours a day,1,22,0,male,city,False
5,1,4,2,1,3,3,4,Sometimes,few hours a day,3,16,1,female,village,True
5,2,5,1,2,5,1,3,Sometimes,most of the day,3,18,3,female,city,False
5,1,5,3,1,5,5,3,Sometimes,few hours a day,3,16,1,female,city,False
5,4,5,4,1,5,3,3,Sometimes,few hours a day,3,20,1,female,city,False
5,2,5,4,4,5,1,1,Sometimes,few hours a day,3,20,1,male,city,True
5,3,5,2,1,1,2,2,Sometimes,few hours a day,2,20,1,male,city,False
5,1,5,2,4,1,5,4,Sometimes,most of the day,2,20,1,female,city,False
5,2,5,2,1,1,2,3,Sometimes,few hours a day,2,20,1,female,city,False
5,1,5,3,1,5,2,2,Sometimes,few hours a day,4,26,3,female,village,False
5,1,4,5,5,2,4,5,Sometimes,most of the day,3,19,2,male,city,True
4,1,5,3,1,5,1,1,Sometimes,few hours a day,1,23,1,male,city,True
5,2,5,2,1,4,5,3,Sometimes,less than an hour a day,3,21,2,female,village,False
