acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.961,['Kodaline'],0.398,2.42E+05,4.027,1.51E-01,0,5Wjf9NsW6QCmBiDIdVvMbP,4.43E-02,4,0.092,-14.402,1,Love Like This - Acoustic,60,6/17/2013,0.034,107.068,7.49E-02,2013
0.977,['Sam Smith'],0.389,2.21E+05,3.684,2.94E-01,0,3XyU03WycJQ02kExHb9dqW,3.93E-03,8,0.107,-5.429,1,Latch - Acoustic,51,1/1/2013,0.028,88.636,2.43E-01,2013
0.995,['Otto Totland'],0.494,1.66E+05,2.767,4.53E-02,0,2Ai5UUXyxaulVbompgrzlo,9.27E-01,5,0.112,-28.914,1,Pinô,57,1/31/2014,0.038,80.743,1.03E-01,2014
0.996,['Max Richter'],0.384,7.59E+04,1.264,3.41E-03,0,3KG9I4JXpDwNQOsotE3uLh,9.43E-01,0,0.096,-39.053,0,The Departure,59,12/2/2014,0.045,116.941,1.17E-01,2014
0.991,"['Edvard Grieg', 'Cyprien Katsaris']",0.31,2.33E+05,3.885,5.32E-02,0,70nfm7IEXnFdxLtvxdXnZq,9.13E-01,4,0.092,-26.802,1,"Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano",57,11/15/2014,0.04,67.711,7.19E-02,2014
0.993,"['Charles Gounod', 'Yo-Yo Ma']",0.132,1.63E+05,2.721,1.95E-02,0,2kyEgPaAW8wdpvevPnkf0Z,8.88E-01,0,0.057,-29.76,1,Ave Maria,62,9/18/2015,0.044,81.616,1.40E-01,2015
0.98,"['Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']",0.205,1.75E+05,2.911,5.25E-02,0,5xcYuTciYwyCDPkOgYBAYz,9.06E-01,1,0.103,-23.841,1,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",55,8/28/2015,0.033,88.316,5.11E-02,2015
0.956,['Sleeping At Last'],0.447,2.41E+05,4.013,2.06E-01,0,7fkXzzIVo98CgjOkpd9H0V,4.56E-06,3,0.107,-11.75,1,Already Gone,63,10/6/2015,0.052,66.734,3.27E-01,2015
0.965,"['Novo Amor', 'Ed Tullett']",0.353,1.94E+05,3.236,3.11E-01,0,5eG8QuQKOBvDeCyoOeMkhT,3.15E-02,3,0.204,-10.377,1,Alps,62,4/15/2016,0.032,146.696,1.35E-01,2016
0.995,['Otto Wahl'],0.429,1.81E+05,3.013,5.41E-02,0,0sDqqcELNvGWI5u8mBxESD,9.28E-01,10,0.114,-26.759,0,Awakening,62,7/20/2016,0.041,122.311,5.69E-02,2016
0.98,['Karin Borg'],0.278,9.53E+04,1.589,4.34E-02,0,3toYHht60pj16nNK0e2HZy,9.19E-01,0,0.121,-22.396,0,Norrsken,63,7/20/2016,0.038,133.853,3.97E-02,2016
0.976,['Justin Hurwitz'],0.476,9.80E+04,1.634,1.92E-01,0,1Vk4yRsz0iBzDiZEoFMQyv,9.28E-01,9,0.119,-15.753,1,Mia & Sebastian’s Theme,63,12/9/2016,0.064,116.542,1.14E-01,2016
0.989,['LUCHS'],0.358,1.93E+05,3.212,4.09E-03,0,5PYHriludkxUAvdUZvs0xj,9.35E-01,10,0.1,-28.239,0,Reverie,62,6/17/2016,0.048,81.654,1.08E-01,2016
0.961,['Deep Sleep Music Collective'],0.062,1.22E+05,2.036,8.68E-04,0,2XrM7sxDMFn2LaKB7ITlJs,9.18E-01,2,0.187,-37.475,1,Sleep Music (Distant Lands),62,11/7/2016,0.051,70.914,1.34E-01,2016
0.994,['Neneh Yacobi'],0.298,1.81E+05,3.01,8.73E-02,0,5tdcH4SoS9ViDo8vtSRsft,9.57E-01,9,0.106,-19.083,1,Here Comes The Sun,66,10/26/2017,0.06,211.823,4.07E-01,2017
0.979,"['In Love With a Ghost', 'Nori']",0.641,2.52E+05,4.202,2.40E-01,0,5VnaOLeK1lKfULuNwet8ck,8.66E-01,8,0.234,-19.107,1,Flowers,63,10/23/2017,0.047,99.02,3.20E-01,2017
0.992,['Charlie Francis'],0.588,1.13E+05,1.881,1.85E-02,0,35h1sceqSdzCftH12t0LkT,9.17E-01,7,0.094,-20.676,1,Twinkle Twinkle Little Star,66,5/11/2017,0.054,121.072,5.00E-01,2017
0.987,['Leny Bhoelai'],0.15,1.90E+05,3.167,2.89E-02,0,7DtluO7XUoL5wf2imEgkXl,9.41E-01,2,0.119,-30.292,1,This night,66,11/29/2019,0.048,137.027,9.22E-02,2019
0.972,['Benjamin Martins'],0.162,1.92E+05,3.2,1.09E-03,0,19rahpLlANnHrR9kXyYDOP,9.13E-01,11,0.085,-47.452,0,Clear Conscience,67,12/4/2019,0.048,109.255,5.36E-02,2019
0.951,['Yolta'],0.281,2.17E+05,3.61,1.97E-02,0,7xD5j8ZCGDAPTTH5EfAVRf,8.89E-01,1,0.108,-21.443,1,Relaxation,67,3/24/2019,0.035,135.488,3.90E-02,2019
0.977,['Havanna Chandri'],0.264,1.28E+05,2.131,1.48E-02,0,7vfYsS34eZojVLXsknEj1J,8.92E-01,3,0.107,-28.971,1,My Sleeping Rose,68,9/18/2019,0.041,75.587,4.95E-02,2019
0.963,['Airship Express'],0.255,1.84E+05,3.071,1.18E-01,0,0vpo0LIlSsiqIWf44ydK2z,8.97E-01,6,0.101,-20.562,1,Sea Of Colors,66,11/1/2019,0.077,139.642,1.09E-01,2019
0.954,['John Ocean'],0.127,2.07E+05,3.456,1.36E-01,0,10zmtHvaMOZKQrdTsvRJyP,9.32E-01,8,0.108,-19.946,1,Rainy Clouds,70,8/30/2019,0.044,81.163,3.68E-02,2019
0.969,['Anson Seabra'],0.535,2.71E+05,4.508,1.15E-01,0,2QDMQcbiWYlyuLa9wFnnBX,6.17E-06,10,0.175,-15.097,1,That's Us,69,5/17/2019,0.053,129.117,2.53E-01,2019
0.961,['The Tides'],0.155,2.24E+05,3.733,5.12E-03,0,65AHFH7pRxxMrFDsFVH5Hv,8.94E-01,8,0.1,-36.056,0,Your Peace,67,11/18/2019,0.042,78.206,1.83E-01,2019
0.98,['Eva Cassidy'],0.333,1.67E+05,2.786,1.31E-01,0,6JPfz2RTDVYqNxMcXSwQWZ,1.52E-01,10,0.113,-20.837,1,Kathy's Song,49,2000,0.031,92.31,3.18E-01,2000
0.996,"['Jacques Ibert', 'Hae Won Chang']",0.409,1.05E+05,1.747,2.11E-03,0,6z5Pd7UoLA6e1AlHYeVzqA,9.41E-01,0,0.065,-40.486,1,Petite suite en 15 images: Berceuse aux etoiles (Lullaby under the Stars),42,4/13/2000,0.067,72.365,5.47E-01,2000
0.987,['The Fairfield Four'],0.309,2.47E+05,4.12,1.52E-01,0,3t3c70vtCfM9PwBjy4v4XH,3.04E-04,2,0.147,-14.695,1,Lonesome Valley,41,12/5/2000,0.049,134.204,1.53E-01,2000
0.994,['John Hartford'],0.246,1.54E+05,2.569,2.48E-02,0,39CbxPVnwNbbiHsen4NrxL,6.98E-02,6,0.083,-23.075,1,I Am A Man Of Constant Sorrow - Instrumental,41,12/5/2000,0.039,141.532,6.46E-01,2000
0.967,['Silver Mt. Zion'],0.115,4.42E+05,7.372,3.03E-01,0,3cEVhx8rkM0FlETJFFpxoF,8.52E-01,11,0.061,-13.693,0,13 Angels Standing Guard 'Round The Side Of Your Bed,44,3/13/2000,0.04,79.193,3.90E-02,2000
0.957,['Jill Scott'],0.301,1.02E+05,1.705,6.54E-02,0,1MOAgfNFslmaHFY3RchuIx,4.74E-05,1,0.095,-16.461,0,I Think It's Better,37,7/18/2000,0.047,175.768,5.78E-02,2000
0.978,"['Alan Menken', 'Anders Soldh', 'Gävle Symphony Orchestra', 'Alexander Hanson']",0.173,2.14E+05,3.573,8.01E-02,0,1woA76rgRgf007W91VCM4N,8.92E-01,5,0.083,-22.474,1,The Little Mermaid: Part of Your World (arr. for orchestra),43,1/1/2000,0.041,139.523,5.00E-02,2000
0.962,['The Microphones'],0.596,1.89E+05,3.144,1.74E-01,0,2Qhkk4hPdkt3NIVtiT8QEe,8.94E-02,0,0.104,-18.634,1,Headless Horseman,44,9/11/2001,0.069,100.08,7.48E-02,2001
0.953,['John Debney'],0.247,5.63E+04,0.938,2.45E-02,0,2ujV4s7kebg7kGP7FZUXql,9.70E-01,9,0.112,-27.659,1,Main Titles - Princess Diaries Score,44,1/1/2001,0.035,36.897,1.59E-01,2001
0.97,['John Williams'],0.303,1.59E+05,2.646,3.82E-03,0,0obKFDzE3dlnDLqkNPLUkx,8.35E-01,7,0.137,-41.844,1,Fluffy's Harp,46,10/30/2001,0.045,121.89,7.05E-02,2001
0.995,"['Wolfgang Amadeus Mozart', 'Oslo Philharmonic Wind Soloists']",0.156,2.51E+05,4.187,2.82E-02,0,5jahnGcLiUJ534BdDmmgwq,9.24E-01,3,0.115,-24.382,1,"Serenade No. 12 in C Minor, K. 388: II. Andante",49,3/14/2002,0.038,76.728,9.53E-02,2002
0.995,"['Johann Sebastian Bach', 'Glenn Gould']",0.436,2.24E+05,3.736,5.18E-03,0,1aTpzY2ggWHhPi8p2f56u1,9.32E-01,7,0.079,-36.593,1,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",47,8/27/2002,0.067,135.286,2.75E-01,2002
0.994,"['Erik Satie', 'Jean-Yves Thibaudet']",0.167,2.17E+05,3.611,2.61E-03,0,5uaqfXP4wBosOea7QLokJP,8.87E-01,9,0.076,-38.553,0,Gnossiennes: No. 4,45,1/1/2002,0.043,63.029,1.04E-01,2002
0.994,"['John Cage', 'Alexei Lubimov']",0.202,5.32E+05,8.864,4.80E-03,0,1qbrS9PKOzsack0g7LiBhh,9.38E-01,10,0.077,-37.422,1,In a Landscape,50,5/13/2002,0.04,68.527,1.95E-01,2002
0.958,"['Stephen Schwartz', 'Idina Menzel', 'Stephen Oremus', 'Alex Lacamoire']",0.231,1.79E+05,2.979,7.55E-02,0,6eRV2uv4DWyZn9dNXn5xX4,1.19E-04,9,0.101,-18.902,1,"I'm Not That Girl - From ""Wicked"" Original Broadway Cast Recording/2003",41,1/1/2003,0.04,180.188,2.05E-01,2003
0.983,"['Franz Liszt', 'Paul Lewis']",0.29,1.54E+05,2.573,7.70E-03,0,0eiT0cfG4TT3u6Zw68A1Kw,9.21E-01,11,0.079,-38.933,1,"En rêve, nocturne, S. 207",47,12/13/2003,0.043,135.607,3.86E-02,2003
0.989,['William Chapman Nyaho'],0.458,1.48E+05,2.46,1.83E-02,0,67HF6y5o1UhIFUGIOPzUK5,8.79E-01,4,0.074,-29.244,1,Three Jamaican Dances: No. 2,45,8/28/2003,0.045,117.004,2.19E-01,2003
0.984,"['Jules Massenet', 'Yo-Yo Ma', 'Kathryn Stott']",0.079,3.47E+05,5.777,2.71E-02,0,2JJWto8imzsHMGXQ1gm84v,8.13E-01,2,0.073,-27.237,1,Thaïs: Méditation (Arr. for Cello & Piano),45,2003,0.045,80.161,3.73E-02,2003
0.971,['A Perfect Circle'],0.143,2.45E+05,4.08,1.92E-01,0,0yRtn9coNCSWIigvKJA5wn,2.00E-02,1,0.183,-15.355,1,The Nurse Who Loved Me,44,1/1/2003,0.038,79.619,1.27E-01,2003
0.978,"['Georges Bizet', 'Angela Gheorghiu', 'Michel Plasson', 'Wolff', 'Orchestre National du Capitol de Toulouse', 'Orchestre National Du Capitole De Toulouse']",0.364,2.76E+05,4.591,5.92E-02,0,3pzBD8BVdrv7VJ7glRYshl,0.00E+00,2,0.082,-21.757,1,"Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)",49,2/25/2003,0.057,123.789,1.85E-01,2003
0.968,"[""The Wailin' Jennys""]",0.504,1.40E+05,2.336,8.46E-03,0,0zwkLwuSIuqQ9a45lTFlSC,0.00E+00,4,0.226,-19.168,1,The Parting Glass,42,1/2/2004,0.103,86.099,1.79E-01,2004
0.956,"['Tommy Dorsey', 'Frank Sinatra']",0.456,2.00E+05,3.329,3.28E-02,0,0HFWS5C6ThNeuOr10Xz21U,7.63E-05,2,0.152,-23.702,1,Polka Dots and Moonbeams,47,9/19/2005,0.053,82.938,3.42E-01,2005
0.962,['Fred Mollin'],0.374,2.09E+05,3.477,2.64E-02,0,41jXeGNqW4ogirMy8IJzzN,6.57E-01,1,0.128,-20.717,1,Hush Little Baby/Rock-A-Bye Baby - Instrumental,46,1/1/2005,0.041,135.874,1.16E-01,2005
0.958,['Harry Gregson-Williams'],0.231,7.29E+04,1.215,1.74E-01,0,03pWkKJjo8ATe0z4SWGzyd,8.43E-01,5,0.234,-16.718,1,A Narnia Lullaby,49,12/13/2005,0.15,91.125,3.22E-02,2005
0.991,"['Morten Lauridsen', 'Chamber Choir Of Europe', 'Nicol Matt']",0.062,4.16E+05,6.93,1.16E-02,0,0S0YKiEdR9cT9pYgEaTevF,4.45E-01,2,0.082,-27.893,1,O Magnum Mysterium: O magnum mysterium,50,1/1/2006,0.057,65.057,3.31E-02,2006
0.982,['Stan Whitmire'],0.539,2.61E+05,4.352,1.66E-01,0,3Ckm40tSW3MSqo7z7GtK4A,8.73E-01,6,0.095,-19.593,0,Hero,51,1/1/2006,0.045,121.925,2.15E-01,2006
0.977,['The Killers'],0.485,4.99E+04,0.832,2.05E-01,0,4pTvgNra8siMoIT8u3epTr,1.68E-02,11,0.165,-15.733,1,Enterlude,50,10/2/2006,0.052,135.019,3.38E-01,2006
0.985,"[""The Wailin' Jennys""]",0.462,1.30E+05,2.171,4.35E-02,0,66JpLq0hpmtHWNYgp8USVs,0.00E+00,8,0.182,-16.884,1,Long Time Traveller,43,6/6/2006,0.044,95.762,2.59E-01,2006
0.986,['Deya Dova'],0.391,2.44E+05,4.06,1.28E-01,0,2O4i80yTXVXmzk68z3dLYf,0.00E+00,5,0.159,-12.946,0,Bloom,50,1/1/2006,0.051,171.336,5.26E-01,2006
0.952,"[""Catherine O'Hara""]",0.268,1.08E+05,1.794,1.13E-01,0,0Zj3Ihs4nn3G3xZ2LKLEbP,3.89E-04,0,0.191,-19.601,1,Sally's Song,45,1/1/2006,0.038,111.801,1.13E-01,2006
0.98,"['Johann Nepomuk Hummel', 'Tine Thing Helseth']",0.496,2.25E+05,3.744,2.49E-01,0,246ntJR3A2s7B5E40FTCLf,9.34E-01,3,0.12,-18.131,1,Hummel: Trumpet Concerto In E Flat - Iii Rondo,50,11/12/2007,0.041,144.239,7.19E-01,2007
0.967,['Norah Jones'],0.484,2.12E+05,3.524,6.53E-02,0,0KNbGtYQmQo8XjVqJMWF3Y,2.03E-02,5,0.073,-17.207,1,Not Too Late,54,1/24/2007,0.031,89.045,1.54E-01,2007
0.98,['Deuter'],0.136,4.98E+05,8.304,9.55E-02,0,04M6R4Fbah2AvgBPbCCbkl,9.17E-01,4,0.085,-21.049,0,Kindred Spirit,51,2/13/2007,0.046,73.976,3.92E-02,2007
0.991,['The Cinematic Orchestra'],0.466,1.13E+05,1.88,1.68E-01,0,4jSuthawb7fitf3Wx3MqVM,8.94E-01,9,0.088,-14.068,1,That Home,45,6/5/2007,0.027,85.508,3.86E-02,2007
0.955,['Stars Of The Lid'],0.063,2.73E+05,4.546,7.18E-02,0,4TrCvd1PrqI14lZb7tEtYo,9.07E-01,8,0.091,-24.789,0,A Meaningful Moment Through a Meaning(less) Process,48,4/2/2007,0.043,67.25,3.24E-02,2007
0.972,"['Dean Evenson', 'Scott Huckabay']",0.107,4.70E+05,7.835,1.10E-01,0,1Dk2yfU21TrinTb44Nr25J,9.61E-01,4,0.079,-20.904,0,Third Eye Chakra - Light Vision,51,6/10/2008,0.041,60.194,3.69E-02,2008
0.994,"['Claude Debussy', 'Simon Trpčeski']",0.329,2.71E+05,4.52,1.02E-02,0,5Ebm8OIFGeyoK25ZzXuju5,9.18E-01,6,0.103,-29.214,0,"Debussy: Deux Arabesques, L. 74, L. 66: Deuxième arabesque",50,1/14/2008,0.038,132.244,6.84E-02,2008
0.984,['Deuter'],0.181,3.56E+05,5.933,6.87E-03,0,3wDjJstO6soS2ewJ3xhyDG,9.46E-01,6,0.103,-26.434,1,Uno,54,2/13/2009,0.036,72.355,4.07E-02,2009
0.987,['Alexandre Desplat'],0.449,2.49E+05,4.15,8.44E-02,0,4xHpqKKjWAULcbFlVefLrw,9.01E-01,9,0.131,-19.391,0,New Moon (The Meadow),49,10/9/2009,0.044,124.936,1.05E-01,2009
0.995,"['Ludwig van Beethoven', 'Louis Lortie']",0.244,4.43E+05,7.377,2.10E-03,0,2Y95aUjHiOtgL8A6t52Ynl,8.60E-01,1,0.161,-41.044,0,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",53,10/26/2010,0.042,64.364,1.87E-01,2010
0.988,"['Frédéric Chopin', 'Hélène Grimaud']",0.319,2.93E+05,4.876,7.12E-02,0,38J3F2EqXt9DnRstJiziTJ,9.05E-01,1,0.141,-26.415,1,"Berceuse In D Flat, Op.57",51,1/1/2010,0.038,95.365,8.35E-02,2010
0.993,"['Franz Liszt', 'Lise de la Salle']",0.341,3.58E+05,5.962,1.42E-02,0,3GecLjGMqzjmgkvy2v41Wf,9.21E-01,2,0.113,-28.293,1,"Ständchen in D Minor (After Schubert), S. 560",55,8/23/2011,0.039,76.382,3.84E-02,2011
0.99,['Mélanie Laurent'],0.377,1.60E+05,2.668,2.39E-02,0,2g2Ggi6gqJiVD2knmkMEfM,8.82E-01,0,0.1,-30.245,1,Début,56,5/2/2011,0.04,119.263,6.29E-02,2011
0.991,['Alexandre Desplat'],0.474,1.18E+05,1.961,1.18E-02,0,4FnK3GEuekjYXavXPIGlmQ,8.91E-01,9,0.062,-31.108,0,Extremely Loud and Incredibly Close,56,12/20/2011,0.032,79.1,6.56E-02,2011
0.965,"['Johannes Brahms', 'David Zinman']",0.082,3.75E+05,6.246,2.18E-02,0,4Weo3vMehKR84QR3gEgwm8,8.41E-01,0,0.104,-28.778,0,"Symphony No. 3 in F Major, Op. 90: III. Poco allegretto",56,9/12/2011,0.041,172.879,6.16E-02,2011
0.962,['Rachel Portman'],0.063,2.23E+05,3.72,1.38E-01,0,24h9onmUBreB167OG10RV6,9.32E-01,2,0.087,-14.157,1,We Had Today,48,1/1/2011,0.042,57.226,3.89E-02,2011
0.964,"['George Gershwin', 'Alexander String Quartet']",0.152,4.31E+05,7.188,6.67E-02,0,2bOqEAbpUbCNeZmkUDJQo2,4.71E-01,7,0.089,-23.263,1,Lullaby for String Quartet,52,8/14/2012,0.039,96.057,6.86E-02,2012
0.989,"['Christoph Willibald Gluck', 'Yuja Wang']",0.279,1.82E+05,3.026,4.61E-03,0,24cgBBhZD1cWekUqaYuqTB,9.82E-01,2,0.064,-36.886,0,"Orfeo ed Euridice, Wq. 30 - Arranged Sgambati / Act 2: Melodie dell'Orfeo",53,3/1/2012,0.044,69.813,3.90E-02,2012
