id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,late_delivery,late,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,freight_cost_groups,line_item_insurance_usd
60937,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3182,2.55E+05,80,0.8,"Alere Medical Co., Ltd.",Yes,1290,14493.3,expensive,261.69
70366,Cote d'Ivoire,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,3600,1.81E+05,50.4,1.68,"MSD, Haarlem, NL",Yes,402,1924.57,reasonable,355.62
38504,Sudan,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,10,3.20E+02,32,1.6,"Trinity Biotech, Plc",Yes,4,593.8,reasonable,0.53
48746,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,32070,8.11E+04,2.53,0.04,"Aurobindo Unit III, India",Yes,1727,1791.42,reasonable,174.93
25824,Mozambique,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,7409,5.76E+05,77.7,0.78,Inverness Japan,Yes,1275,15873.44,expensive,949.87
14447,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5745,2.59E+04,4.51,0.15,"Aurobindo Unit III, India",Yes,488,4232.71,reasonable,42.75
24591,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,3010,2.47E+05,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,756,9193.82,expensive,408.25
6933,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,8153,2.20E+05,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,2707,13535.55,expensive,352.21
5657,Uganda,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,1275,3.44E+04,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,483,4193.88,reasonable,55.08
14384,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,20867,3.26E+04,1.56,0.05,"Aurobindo Unit III, India",Yes,1337,8403.67,expensive,40.27
72293,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,100000,2.18E+05,2.18,0.04,Hetero Unit III Hyderabad IN,Yes,6304,34182.97,expensive,224.1
75706,Ghana,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,934,5.55E+03,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,110,2060.79,reasonable,5.7
21656,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,42813,9.63E+04,2.25,0.04,"Aurobindo Unit III, India",Yes,4369,22508.32,expensive,99.03
44920,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,9744,1.41E+04,1.45,0.02,"Aurobindo Unit III, India",Yes,656,6158,expensive,30.46
14079,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2915,0.00E+00,0,0,"Alere Medical Co., Ltd.",Yes,1208,20583.37,expensive,0
29317,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,6000,1.35E+04,2.25,0.04,"Aurobindo Unit III, India",Yes,594,1113.01,reasonable,16.7
16277,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,26,8.32E+02,32,1.6,"Trinity Biotech, Plc",Yes,17,334.65,reasonable,1.17
1198,Namibia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,N/A,Test kit,25,67,5.03E+03,75,3,Chembio Diagnostics Sys. Inc.,Yes,48,401.97,reasonable,9.85
17447,Cote d'Ivoire,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,7850,4.66E+04,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,909,6020.53,expensive,57.68
38596,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2807,2.02E+05,72,0.72,Inverness Japan,Yes,1360,20067.34,expensive,435.74
61403,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,N/A,Test kit,30,1206,2.89E+04,24,0.8,"Standard Diagnostics, Korea",Yes,429,4540.55,reasonable,62.4
66641,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,19050,6.00E+04,3.15,0.01,"Aurobindo Unit III, India",Yes,7349,4876.34,reasonable,129.38
15142,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,11510,5.38E+04,4.67,0.16,"Aurobindo Unit III, India",Yes,993,4263.07,reasonable,115.89
14230,Rwanda,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,400,1.23E+04,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,454,7152.99,expensive,15.25
58484,Cameroon,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,37470,4.18E+05,11.15,0.37,"Aurobindo Unit VII, IN",Yes,4927,65875.32,expensive,516.81
21199,Haiti,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,40,1.23E+03,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,61,1257.16,reasonable,1.27
72049,Uganda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,22500,5.29E+04,2.35,0.04,"Aurobindo Unit III, India",Yes,2145,8143.97,expensive,74.13
26093,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,57364,1.29E+05,2.25,0.04,"Aurobindo Unit III, India",Yes,5468,48501.5,expensive,180.95
67308,Rwanda,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,642,3.81E+03,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,83,929.85,reasonable,4.49
47311,Cote d'Ivoire,PMO - US,Direct Drop,FCA,Ocean,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1573,4.85E+04,30.82,0.26,ABBVIE Ludwigshafen Germany,Yes,393,40289,expensive,79.99
35375,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,69255,3.12E+05,4.51,0.15,"Aurobindo Unit III, India",Yes,5887,4232.71,reasonable,515.36
21091,Haiti,PMO - US,Direct Drop,EXW,Ocean,0,No,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,5324,2.21E+04,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,4654,8538.03,expensive,30.98
2008,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1,6998,1.61E+05,23,23,"KHB Test Kit Facility, Shanghai China",Yes,5057,44347.71,expensive,257.53
4311,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1116,7.81E+04,70,0.7,Inverness Japan,Yes,256,4014.57,reasonable,124.99
65081,Vietnam,PMO - US,Direct Drop,EXW,Air,1,Yes,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,14016,1.47E+05,10.5,0.35,Hetero Unit III Hyderabad IN,Yes,1955,6194.69,expensive,151.29
78303,Cote d'Ivoire,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 30mg/ml [Stocrin/Sustiva], oral solution, Bottle, 180 ml",Efavirenz,Stocrin/Sustiva,30mg/ml,Oral solution,180,2052,3.48E+04,16.96,0.09,"MSD, Haarlem, NL",Yes,605,1416.03,reasonable,57.42
34062,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,9789,6.61E+04,6.75,0.11,Mylan (formerly Matrix) Nashik,Yes,1585,2965.32,reasonable,81.74
72492,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,4848,1.41E+05,29,1.45,Chembio Diagnostics Sys. Inc.,Yes,1784,8248.33,expensive,197.11
23023,Namibia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,75,5.83E+03,77.7,0.78,Inverness Japan,Yes,19,718.32,reasonable,8.17
43812,Rwanda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,10620,2.05E+05,19.33,0.32,"Aurobindo Unit III, India",Yes,1050,18475.61,expensive,402.36
75198,Ghana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,25097,2.06E+05,8.2,0.14,"Aurobindo Unit III, India",Yes,3167,16189.27,expensive,211.56
14743,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,87500,6.41E+05,7.33,0.12,"Aurobindo Unit III, India",Yes,4416,7334.83,expensive,1382.8
20319,Zambia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,6000,4.80E+05,80,0.8,"Alere Medical Co., Ltd.",Yes,2439,30885.26,expensive,493.44
57449,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4400,2.68E+05,60.82,0.51,ABBVIE Ludwigshafen Germany,Yes,1073,1475.94,reasonable,275.1
52540,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,1625,2.11E+04,13,0.43,"Aurobindo Unit III, India",Yes,111,1206.62,reasonable,34.86
66349,South Sudan,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,240,7.68E+03,32,1.6,"Trinity Biotech, Plc",Yes,82,1504.59,reasonable,10.77
51587,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,22372,6.53E+04,2.92,0.05,"Aurobindo Unit III, India",Yes,2655,6369.79,expensive,140.84
6691,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,100,8.94E+02,8.94,0.15,"Ranbaxy, Paonta Shahib, India",Yes,6,2794.34,reasonable,1.43
62521,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Abacavir/Lamivudine/Zidovudine 300/150/300mg, tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Generic,300/150/300mg,Tablet - FDC,60,2688,8.60E+04,32,0.53,Mylan (formerly Matrix) Nashik,Yes,421,4022.89,reasonable,168.59
30412,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,N/A,Test kit,30,50,1.17E+03,23.4,0.78,Premier Med. Corp Ltd. India,Yes,18,2644.79,reasonable,1.64
8407,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1130,9.04E+04,79.99,0.8,Inverness Japan,Yes,258,3748.24,reasonable,144.62
64108,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2835,2.52E+05,89,0.89,"Alere Medical Co., Ltd.",Yes,1352,30726.22,expensive,353.75
65780,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,55710,1.30E+05,2.34,0.04,Hetero Unit III Hyderabad IN,Yes,3204,19625.64,expensive,182.77
35053,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Abacavir 20mg/ml, oral solution w/syringe, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,200,2.50E+03,12.5,0.05,"Aurobindo Unit III, India",Yes,546,1340.23,reasonable,3.5
76270,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,2530,1.97E+05,77.7,0.78,Inverness Japan,Yes,575,26849.57,expensive,324.36
13926,South Africa,PMO - US,Direct Drop,DDP,Air,1,Yes,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,19992,1.56E+05,7.82,0.26,"Cipla, Goa, India",Yes,1378,3646.1,reasonable,337.06
55504,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,27,8.64E+02,32,1.6,"Trinity Biotech, Plc",Yes,10,490.23,reasonable,1.21
1,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,N/A,Test kit,30,19,5.51E+02,29,0.97,Ranbaxy Fine Chemicals LTD,Yes,13,780.34,reasonable,NaN
25830,South Africa,PMO - US,Direct Drop,DDP,Air,1,Yes,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,11640,3.49E+04,3,0.01,"Aurobindo Unit III, India",Yes,4386,12917.3,expensive,75.29
68361,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,10508,4.36E+04,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,678,2148.1,reasonable,61.14
92,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,1000,8.00E+04,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341,2682.47,reasonable,128
67159,Malawi,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,66,5.28E+03,80,0.8,"Alere Medical Co., Ltd.",Yes,30,1470.09,reasonable,7.4
63807,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,6500,8.13E+03,1.25,0.04,"Aurobindo Unit III, India",Yes,406,4837.38,reasonable,10.05
50802,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,11500,6.24E+04,5.43,0.09,"Aurobindo Unit III, India",Yes,632,4168.19,reasonable,77.24
49211,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,CIPLA LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,57925,1.58E+05,2.72,0.05,"Cipla, Goa, India",Yes,6220,7175.28,expensive,259.97
