id,title,popularity,release_date
1921,Sweet November,1.94E+01,2/16/2001
9665,Glory,1.61E+01,12/15/1989
284536,The Gambler,2.26E+01,12/25/2014
1491,The Illusionist,3.70E+01,8/18/2006
9776,Head of State,3.46E+00,1/1/2003
13982,8 Heads in a Duffel Bag,5.02E+00,4/18/1997
139038,A Haunted House,1.87E+01,1/11/2013
10691,Crazy/Beautiful,6.13E+00,6/29/2001
17813,Alex & Emma,4.35E+00,6/16/2003
6435,Practical Magic,1.51E+01,10/16/1998
4421,G.I. Jane,1.94E+01,8/22/1997
1792,Stuck on You,8.80E+00,12/10/2003
80035,The Watch,3.94E+01,7/26/2012
12783,The Duchess,1.86E+01,9/5/2008
154,Star Trek II: The Wrath of Khan,2.24E+01,6/3/1982
172391,Khumba,6.46E+00,7/18/2013
6116,Spice World,6.89E+00,12/19/1997
13680,The Game Plan,2.07E+01,9/28/2007
1125,Dreamgirls,1.45E+01,12/25/2006
2752,40 Days and 40 Nights,1.42E+01,3/1/2002
11637,Are We There Yet?,1.36E+01,1/20/2005
80585,Rock of Ages,2.35E+01,6/13/2012
13889,Madadayo,2.93E+00,4/17/1993
16899,Easy Virtue,8.39E+00,1/1/2008
7510,Running with Scissors,4.77E+00,10/27/2006
51955,Hav Plenty,3.14E-03,9/11/1997
68727,Trance,3.88E+01,3/27/2013
9621,Elizabethtown,2.29E+01,10/6/2005
17186,Supercross,3.71E+00,8/16/2005
26618,Clay Pigeons,4.22E+00,9/25/1998
225565,That Awkward Moment,3.78E+01,1/29/2014
208134,Bad Grandpa,2.72E+01,10/22/2013
288927,Archaeology of a Woman,2.55E-01,9/12/2014
77951,Walking With Dinosaurs,1.01E+01,12/18/2013
12509,Pollock,8.48E+00,9/6/2000
31640,Blood and Wine,1.49E+00,10/3/1996
49026,The Dark Knight Rises,1.12E+02,7/16/2012
4584,Sense and Sensibility,2.09E+01,12/13/1995
377,A Nightmare on Elm Street,3.82E+01,11/14/1984
303858,Money Monster,3.83E+01,5/12/2016
200,Star Trek: Insurrection,1.97E+01,12/10/1998
10202,Bedtime Stories,2.35E+01,12/24/2008
302579,Naturally Native,5.79E-01,10/8/1999
8536,Superman II,3.05E+01,12/4/1980
577,To Die For,1.23E+01,5/20/1995
34653,A Single Man,2.16E+01,10/19/2009
1408,Cutthroat Island,7.03E+00,12/22/1995
654,On the Waterfront,1.60E+01,6/22/1954
1649,Bill & Ted's Bogus Journey,1.14E+01,7/19/1991
13389,Righteous Kill,1.84E+01,9/11/2008
27585,Rabbit Hole,1.01E+01,12/16/2010
15544,Extreme Movie,8.15E+00,12/5/2008
283686,Out of the Dark,3.22E+00,8/27/2014
38007,Ira & Abby,5.95E-01,1/1/2006
9613,Spider,6.95E+00,12/13/2002
59728,The 5th Quarter,2.16E-01,3/25/2011
10065,The Amityville Horror,3.02E+01,4/15/2005
16028,They,4.54E+00,11/1/2002
268920,Hot Pursuit,1.83E+01,5/8/2015
74,War of the Worlds,4.86E+01,6/28/2005
139948,Burn,1.27E-01,11/1/2012
50359,Hop,1.68E+01,3/30/2011
10193,Toy Story 3,6.00E+01,6/16/2010
8363,Superbad,3.34E+01,8/17/2007
12142,Alone in the Dark,9.29E+00,1/28/2005
92635,Snow White: A Deadly Summer,6.54E-01,3/16/2012
35056,Date Night,3.81E+01,4/8/2010
1429,25th Hour,3.02E+01,12/16/2002
950,Ice Age: The Meltdown,8.51E+01,3/23/2006
273895,Selma,2.90E+01,12/25/2014
8467,Dumb and Dumber,3.58E+01,12/16/1994
309425,Do You Believe?,2.47E+00,3/20/2015
222899,About Last Night,1.18E+01,2/14/2014
214,Saw III,3.31E+01,10/27/2006
2312,In the Name of the King: A Dungeon Siege Tale,1.54E+01,11/29/2007
176,Saw,6.37E+01,10/1/2004
376659,Bad Moms,4.25E+01,7/28/2016
3170,Bambi,4.77E+01,8/14/1942
9583,Divine Secrets of the Ya-Ya Sisterhood,5.58E+00,6/7/2002
17578,The Adventures of Tintin,8.99E+01,10/25/2011
9945,Vampires,1.70E+01,4/15/1998
10603,George of the Jungle,2.26E+01,7/15/1997
16690,Return to Never Land,1.53E+01,2/14/2002
10781,The Texas Chainsaw Massacre: The Beginning,2.14E+01,10/6/2006
9030,The Eye,1.11E+01,2/1/2008
340611,Indignation,5.63E+00,7/29/2016
238636,The Purge: Anarchy,8.30E+01,7/17/2014
3060,The Big Parade,7.86E-01,11/5/1925
18892,Jawbreaker,4.34E+00,1/30/1999
55779,Final Destination 5,3.86E+01,8/12/2011
10996,Stuart Little 2,2.80E+01,7/19/2002
1591,Nowhere in Africa,3.48E+00,12/11/2001
4515,Lions for Lambs,9.79E+00,10/22/2007
62,2001: A Space Odyssey,8.62E+01,4/10/1968
31005,Moonlight Mile,8.98E+00,9/9/2002
1440,Little Children,1.19E+01,10/6/2006
10115,Stick It,9.75E+00,4/21/2006
11588,The I Inside,3.79E+00,1/15/2004
1809,The Rules of Attraction,1.14E+01,10/11/2002
11536,The Misfits,2.93E+00,1/1/1961
454,Romeo + Juliet,4.15E+01,10/31/1996
14292,Miracle,7.53E+00,2/6/2004
174751,Jane Got a Gun,1.53E+01,1/1/2016
1590,Copying Beethoven,5.06E+00,9/10/2006
283671,Jungle Shuffle,1.41E+00,8/7/2014
68728,Oz: The Great and Powerful,4.70E+01,3/7/2013
21345,City of Life and Death,4.79E+00,4/22/2009
20761,Play It to the Bone,5.57E+00,12/25/1999
9955,Blades of Glory,1.94E+01,3/30/2007
210860,Mortdecai,5.24E+01,1/21/2015
8007,Behind Enemy Lines,2.40E+01,11/17/2001
50601,5 Days of War,5.73E+00,4/14/2011
36739,School Daze,3.16E+00,2/12/1988
889,The Flintstones in Viva Rock Vegas,6.25E+00,4/28/2000
49538,X-Men: First Class,3.20E+00,5/24/2011
22787,Whiteout,1.48E+01,9/9/2009
62728,Brighton Rock,3.12E+00,9/13/2010
16340,Rugrats in Paris: The Movie,4.59E+00,9/14/2000
49787,The Reef,7.25E+00,5/15/2010
329,Jurassic Park,4.04E+01,6/11/1993
153397,Restless,8.13E-01,12/7/2012
38055,Megamind,6.88E+01,10/28/2010
36970,Oceans,1.07E+01,10/17/2009
93856,Chernobyl Diaries,2.07E+01,5/24/2012
388,Inside Man,4.52E+01,3/23/2006
11090,The Animal,1.38E+01,6/1/2001
332285,Antibirth,3.67E+00,9/2/2016
11469,Black Knight,1.59E+01,11/21/2001
238,The Godfather,1.44E+02,3/14/1972
5820,The Sentinel,1.54E+01,4/19/2006
2320,Executive Decision,1.72E+01,3/15/1996
19848,The Players Club,5.77E+00,4/8/1998
81005,Jack the Giant Slayer,4.34E+01,2/27/2013
8618,The History Boys,3.77E+00,10/2/2006
698,Moonraker,2.99E+01,6/26/1979
137347,Closer to the Moon,9.16E+00,11/29/2013
12247,Shotgun Stories,5.25E+00,10/1/2007
84329,Robot & Frank,2.34E+01,8/16/2012
9448,The Big Hit,6.43E+00,4/24/1998
300327,Death Calls,5.88E-03,9/1/2010
10386,The Iron Giant,6.13E+01,8/6/1999
1424,November,5.74E+00,7/22/2004
10592,Hart's War,1.42E+01,2/15/2002
1572,Die Hard: With a Vengeance,5.19E+01,5/19/1995
3049,Ace Ventura: Pet Detective,4.13E+01,2/4/1994
11592,Serial Mom,6.17E+00,4/13/1994
361475,Departure,4.26E-01,5/20/2016
920,Cars,8.26E+01,6/8/2006
61752,Girl 6,2.99E+00,3/22/1996
9541,Jersey Girl,1.47E+01,3/25/2004
286939,Sanctuary: Quite a Conundrum,1.67E-01,1/20/2012
175541,Black Nativity,7.18E+00,11/27/2013
87827,Life of Pi,5.13E+01,11/20/2012
16653,The Singles Ward,9.21E-01,1/30/2002
2251,Unfaithful,1.44E+01,5/10/2002
183894,Emma,2.14E+00,10/11/2009
41283,Faster,2.63E+01,11/23/2010
134411,Snitch,3.06E+01,2/21/2013
10731,The Client,1.78E+01,7/20/1994
35073,"The Beast from 20,000 Fathoms",2.04E+00,6/13/1953
284296,Top Five,1.59E+01,12/12/2014
10436,The Age of Innocence,9.13E+00,9/17/1993
100,"Lock, Stock and Two Smoking Barrels",1.60E+01,3/5/1998
10012,Cursed,1.12E+01,2/25/2005
48988,Hall Pass,2.71E+01,2/25/2011
641,Requiem for a Dream,1.16E+01,10/27/2000
87826,Here Comes the Boom,2.68E+01,10/11/2012
13579,The Longshots,4.03E+00,8/22/2008
34549,Max Keeble's Big Move,1.08E+00,10/5/2001
8489,Ali,1.89E+01,12/11/2001
31007,Welcome to the Rileys,6.09E+00,10/29/2010
9767,The Break-Up,2.63E+01,6/1/2006
1824,50 First Dates,6.14E+01,2/13/2004
664,Twister,3.21E+01,5/10/1996
12227,White Fang,1.31E+01,1/18/1991
244534,Happy Christmas,7.05E+00,6/26/2014
2018,The Wedding Planner,1.50E+01,1/26/2001
315011,Shin Godzilla,9.48E+00,7/29/2016
5955,The Pledge,1.25E+01,1/9/2001
598,City of God,4.44E+01,2/5/2002
258489,The Legend of Tarzan,4.27E+01,6/29/2016
585,"Monsters, Inc.",1.07E+02,11/1/2001
19994,Jennifer's Body,3.23E+01,9/18/2009
150689,Cinderella,1.01E+02,3/12/2015
18615,Fur: An Imaginary Portrait of Diane Arbus,4.36E+00,8/30/2006
9829,United 93,1.75E+01,4/28/2006
26837,B-Girl,6.32E-01,7/29/2009
2008,The Promise,3.87E+00,12/15/2005
364083,Mi America,3.90E-02,10/16/2015
9700,The Lost City,3.59E+00,9/3/2005
30379,Megiddo: The Omega Code 2,8.10E-01,9/7/2001
296,Terminator 3: Rise of the Machines,6.94E+01,7/2/2003
16769,Coal Miner's Daughter,3.83E+00,3/7/1980
11892,Murder by Numbers,1.62E+01,4/19/2002
2447,The Nativity Story,3.72E+00,12/1/2006
34335,Nine Dead,9.69E+00,1/1/2010
20694,Rugrats Go Wild,8.26E+00,6/13/2003
9895,Man of the Year,1.12E+01,10/9/2006
14337,Primer,2.33E+01,10/8/2004
10534,White Squall,1.01E+01,2/2/1996
15070,Undisputed,1.72E+01,8/23/2002
20360,Namastey London,1.84E+00,3/27/2007
190859,American Sniper,8.75E+01,12/11/2014
57022,Sunshine State,4.25E+00,6/21/2002
146216,RED 2,4.43E+01,7/18/2013
16428,Breakin' All the Rules,6.91E+00,5/14/2004
310569,The Second Mother,9.68E+00,2/8/2015
52451,The Three Musketeers,3.66E+01,8/31/2011
5137,Sky Captain and the World of Tomorrow,2.47E+01,9/17/2004
10913,Dear Wendy,2.60E+00,1/22/2005
121676,Inescapable,6.78E+00,9/14/2012
9344,Kids,1.33E+01,7/28/1995
17917,Oliver!,8.31E+00,9/26/1968
9839,Beyond Borders,6.52E+00,10/23/2003
10428,Hackers,1.78E+01,9/14/1995
45054,There Be Dragons,6.67E+00,3/25/2011
12100,Windtalkers,1.87E+01,6/14/2002
72113,Carnage,2.00E+01,9/16/2011
62677,Songcatcher,3.36E+00,3/1/2001
41439,Saw: The Final Chapter,3.61E+01,10/21/2010
283445,Sinister 2,2.61E+01,8/19/2015
79694,The Apparition,6.39E+00,8/23/2012
20766,The Road,4.11E+01,11/25/2009
13938,The Last Dragon,4.93E+00,3/22/1985
1487,Hellboy,4.75E+01,4/2/2004
11561,Sleeper,1.07E+01,12/17/1973
67911,Bucky Larson: Born to Be a Star,3.92E+00,9/9/2011
2292,Clerks,1.98E+01,9/13/1994
25769,Carriers,1.27E+01,9/4/2009
77931,The Smurfs 2,3.25E+01,7/30/2013
39303,2:13,1.27E+00,4/25/2009
10329,Congo,1.08E+01,6/9/1995
10934,Under the Tuscan Sun,1.23E+01,4/30/2003
127867,The Brass Teapot,1.06E+01,9/8/2012
75780,Jack Reacher,5.69E+01,12/20/2012
11702,The Replacement Killers,9.61E+00,2/6/1998
53862,Trippin',1.85E-01,5/12/1999
12277,Undercover Brother,6.09E+00,5/31/2002
9614,Happy Gilmore,2.66E+01,2/16/1996
10156,History of the World: Part I,1.43E+01,6/12/1981
8060,Married Life,3.00E+00,9/12/2007
83686,The Words,1.50E+01,9/7/2012
805,Rosemary's Baby,2.62E+01,6/12/1968
92591,Bernie,1.27E+01,4/27/2012
44040,Devil,3.09E+01,1/13/2010
112456,Hardflip,3.42E-01,6/1/2012
43595,She Done Him Wrong,6.23E-01,2/9/1933
7973,Caramel,4.56E+00,7/1/2007
334527,Criminal Activities,6.67E+00,11/20/2015
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1.29E+01,7/28/1989
228150,Fury,1.40E+02,10/15/2014
82682,Gangster Squad,2.90E+01,1/10/2013
116741,The Internship,1.55E+00,6/7/2013
14043,Nancy Drew,5.04E+00,6/15/2007
37950,Charlie St. Cloud,2.18E+01,5/1/2010
67238,Cavite,2.22E-02,3/12/2005
48034,Little White Lies,1.53E+01,10/20/2010
10727,Darkness Falls,1.12E+01,1/24/2003
20455,Digimon: The Movie,3.74E+00,3/17/2000
15797,Only the Strong,5.41E+00,8/27/1993
522,Ed Wood,2.46E+01,9/27/1994
10528,Sherlock Holmes,5.78E+01,12/23/2009
44115,127 Hours,5.25E+01,11/5/2010
325789,The Infiltrator,2.47E+01,7/13/2016
72976,Lincoln,3.63E+01,11/9/2012
15511,VeggieTales: The Pirates Who Don't Do Anything,1.80E+00,1/11/2008
10733,The Alamo,1.07E+01,4/7/2004
20483,Catch That Kid,4.49E+00,2/6/2004
281189,Gory Gory Hallelujah,3.39E-02,11/5/2003
364,Batman Returns,5.91E+01,6/19/1992
400,Things to Do in Denver When You're Dead,6.93E+00,12/1/1995
809,Shrek 2,4.73E+01,5/19/2004
22538,Scott Pilgrim vs. the World,3.89E+01,7/27/2010
6114,Dracula,4.50E+01,11/13/1992
219,Volver,1.98E+01,3/16/2006
367551,American Hero,5.02E+00,12/11/2015
87825,Trouble with the Curve,1.86E+01,9/21/2012
9282,11:14,1.51E+01,5/16/2003
71805,Shipwrecked,7.03E-01,10/3/1990
43266,How Green Was My Valley,7.70E+00,10/28/1941
13503,Texas Rangers,5.64E+00,11/30/2001
9946,End of Days,2.07E+01,11/24/1999
57612,Dolphins and Whales: Tribes of the Ocean,4.17E-02,2/15/2008
180296,They Came Together,1.20E+01,6/27/2014
177677,Mission: Impossible - Rogue Nation,1.15E+02,7/23/2015
8374,The Boondock Saints,3.49E+01,1/22/1999
6933,One Missed Call,1.25E+01,1/4/2008
266396,The Gunman,2.69E+01,2/16/2015
56666,Fiza,4.30E-02,9/8/2000
2355,Reign Over Me,2.08E+01,3/23/2007
20065,Purple Violets,9.36E-01,4/30/2007
37495,Four Lions,2.05E+01,5/7/2010
3766,The Lady from Shanghai,8.06E+00,12/24/1947
13363,The Man from Earth,3.13E+01,6/10/2007
11313,Hearts in Atlantis,7.07E+00,9/7/2001
157386,The Spectacular Now,2.57E+01,8/2/2013
189711,Love in the Time of Monsters,1.34E-01,3/8/2014
17734,Thirteen Conversations About One Thing,7.00E+00,9/2/2001
196867,Annie,3.34E+01,12/19/2014
8909,Wanted,7.38E+01,6/19/2008
2539,Spanglish,1.42E+01,12/17/2004
9513,Garfield: A Tail of Two Kitties,1.69E+01,6/15/2006
1891,The Empire Strikes Back,7.85E+01,5/17/1980
6521,The Contender,7.03E+00,10/13/2000
25066,Tales from the Hood,3.89E+00,5/24/1995
10560,Center Stage,6.96E+00,5/12/2000
99826,The Jimmy Show,9.84E-02,1/16/2002
67913,The Guard,1.94E+01,7/7/2011
9802,The Rock,5.15E+01,6/6/1996
11398,The Art of War,7.83E+00,8/23/2000
271969,Ben-Hur,2.96E+01,8/17/2016
187,Sin City,6.60E+01,4/1/2005
150540,Inside Out,1.29E+02,6/9/2015
2661,Batman,9.82E+00,7/30/1966
11531,Book of Shadows: Blair Witch 2,3.89E+00,10/27/2000
11551,Small Soldiers,2.31E+01,7/10/1998
46738,Incendies,2.13E+01,9/4/2010
9447,Babe: Pig in the City,1.14E+01,11/25/1998
357441,Karachi se Lahore,6.00E-02,7/31/2015
169,Predator 2,2.79E+01,11/20/1990
33542,Rumble in the Bronx,1.73E+01,1/30/1995
14574,The Boy in the Striped Pyjamas,3.48E+01,5/7/2008
11374,Edtv,1.43E+01,3/26/1999
9903,The Hoax,5.07E+00,10/14/2006
111,Scarface,7.01E+01,12/8/1983
11191,Mystic Pizza,6.38E+00,10/13/1988
2069,The Whole Nine Yards,2.34E+01,2/18/2000
10761,Made of Honor,1.96E+01,5/2/2008
1123,Catch a Fire,4.05E+00,10/27/2006
44260,Lake of Fire,4.76E-01,9/9/2006
18041,Gossip,5.83E+00,4/21/2000
241554,Run All Night,7.47E+01,3/11/2015
65057,The Descendants,4.09E+01,9/9/2011
1887,Marie Antoinette,2.24E+01,5/24/2006
68718,Django Unchained,8.21E+01,12/25/2012
10204,Around the World in 80 Days,2.26E+01,6/16/2004
53457,Sarah's Key,1.01E+01,9/16/2010
40494,Trapeze,1.38E+00,5/30/1956
65086,The Woman in Black,4.37E+01,2/1/2012
59967,Looper,4.64E+01,9/26/2012
581,Dances with Wolves,4.57E+01,11/9/1990
23531,Whipped,2.14E+00,9/1/2000
37707,Splice,2.32E+01,10/6/2009
9947,Elektra,2.86E+01,1/13/2005
534,Terminator Salvation,7.19E+01,5/20/2009
8204,The Spiderwick Chronicles,2.14E+01,2/14/2008
12133,Step Brothers,2.30E+01,7/25/2008
9615,The Fast and the Furious: Tokyo Drift,8.28E+00,6/3/2006
9707,Bubba Ho-tep,9.96E+00,6/9/2002
9434,Grosse Pointe Blank,1.38E+01,4/11/1997
24746,Six-String Samurai,1.89E+00,9/18/1998
345,Eyes Wide Shut,2.79E+01,7/14/1999
20468,The Big Tease,5.02E-01,1/1/1999
4597,Armored,1.52E+01,12/4/2009
663,Saw IV,2.92E+01,10/25/2007
9027,The Guru,4.09E+00,8/21/2002
11973,Thirteen Days,1.83E+01,12/24/2000
43949,Flipped,2.42E+01,8/6/2010
94329,The Raid,4.03E+01,9/8/2011
11404,Driving Lessons,7.67E+00,4/30/2006
18734,L.I.E.,7.73E+00,1/20/2001
14434,I Think I Love My Wife,4.54E+00,3/16/2007
57294,Crying with Laughter,1.08E-01,6/1/2009
57089,Hoodwinked Too! Hood VS. Evil,1.07E+01,4/29/2011
9034,The Banger Sisters,6.02E+00,9/20/2002
18475,The Cookout,8.31E-01,9/3/2004
2652,Hard Candy,2.59E+01,1/14/2005
260947,Something Wicked,1.97E+00,4/4/2014
13996,Bottle Shock,6.17E+00,8/6/2008
9779,The Sisterhood of the Traveling Pants,1.72E+01,6/1/2005
150211,The Frozen,1.08E+00,10/10/2012
8914,Deep Blue Sea,2.30E+01,7/28/1999
9563,Any Given Sunday,2.31E+01,12/16/1999
1024,Heavenly Creatures,8.75E+00,9/2/1994
31535,Chairman of the Board,5.87E-01,3/13/1998
91586,Insidious: Chapter 2,4.84E+01,9/12/2013
2567,The Aviator,4.56E+01,12/17/2004
98369,Blue Like Jazz,1.61E+00,4/13/2012
241766,Lords of London,1.91E+00,1/6/2014
1523,The Last King of Scotland,2.63E+01,9/1/2006
9257,S.W.A.T.,3.41E+01,8/8/2003
8643,The Exorcism of Emily Rose,3.26E+01,9/9/2005
354110,Forsaken,1.11E+01,9/16/2015
97367,The Place Beyond the Pines,3.54E+01,3/20/2013
13374,Ice Princess,1.33E+01,3/17/2005
1808,Velvet Goldmine,1.09E+01,10/23/1998
10152,Dumb and Dumberer: When Harry Met Lloyd,1.57E+01,6/13/2003
180383,Deceptive Practice: The Mysteries and Mentors ...,4.25E-01,10/4/2012
14256,Winter Passing,3.64E+00,2/7/2006
43942,Freakonomics,1.78E+00,10/1/2010
26306,Prefontaine,8.72E+00,1/24/1997
164558,One Direction: This Is Us,7.94E+00,8/28/2013
10972,Session 9,1.11E+01,8/10/2001
78383,Nurse 3-D,1.00E+01,9/28/2013
37206,A Shine of Rainbows,1.21E+01,10/1/2009
5551,Space Cowboys,1.58E+01,7/31/2000
1571,Live Free or Die Hard,4.89E+01,6/20/2007
94348,Alex Cross,1.45E+01,10/18/2012
1777,Fahrenheit 9/11,1.62E+01,6/25/2004
34106,You Can't Take It With You,3.43E+00,8/23/1938
71864,The Odd Life of Timothy Green,1.64E+01,8/15/2012
672,Harry Potter and the Chamber of Secrets,1.32E+02,11/13/2002
2275,The General's Daughter,1.84E+01,6/18/1999
11975,The Rainmaker,1.22E+01,11/18/1997
241771,Beyond the Lights,8.08E+00,9/10/2014
2619,Splash,2.17E+01,3/9/1984
11978,Men of Honor,2.42E+01,9/13/2000
17708,Corky Romano,3.50E+00,10/12/2001
11977,Caddyshack,1.59E+01,7/25/1980
658,Goldfinger,4.78E+01,9/17/1964
10285,Jason Goes to Hell: The Final Friday,1.03E+01,8/13/1993
8271,Disturbia,3.17E+01,4/12/2007
676,Pearl Harbor,3.42E+01,5/21/2001
10501,The Road to El Dorado,3.71E+01,3/31/2000
11687,The Visitors,8.89E+00,1/27/1993
137093,Last Vegas,2.80E+01,10/31/2013
316002,Accidental Love,5.65E+00,2/10/2015
84184,Celeste & Jesse Forever,9.44E+00,8/3/2012
10229,A Walk to Remember,3.33E+01,1/25/2002
209263,Enough Said,1.50E+01,9/18/2013
2196,Death at a Funeral,2.04E+01,2/9/2007
3595,Ransom,1.64E+01,11/8/1996
41446,Scream 4,3.52E+01,4/11/2011
205126,Independence Daysaster,1.96E+00,6/27/2013
166424,Fantastic Four,3.81E+01,8/5/2015
9481,The Bone Collector,3.39E+01,11/4/1999
68179,Escape from Planet Earth,1.81E+01,2/14/2013
216015,Fifty Shades of Grey,9.88E+01,2/11/2015
9455,The Corruptor,4.07E+00,3/12/1999
5722,Beyond the Valley of the Dolls,4.29E+00,7/17/1970
9075,Black Book,1.39E+01,9/1/2006
111794,20 Dates,4.08E-01,1/1/1998
824,Moulin Rouge!,5.74E+01,3/9/2001
9804,Waterworld,4.46E+01,7/28/1995
5723,Once,1.91E+01,3/23/2007
58431,Pride and Prejudice and Zombies,2.84E+01,2/4/2016
2502,The Bourne Supremacy,5.32E+01,7/23/2004
18357,The Country Bears,6.91E+00,7/26/2002
250184,Locker 13,1.91E+00,3/29/2014
39833,Love Me Tender,1.44E+00,11/15/1956
6488,Arachnophobia,1.59E+01,8/9/1990
13362,Taxi to the Dark Side,7.49E-01,4/30/2007
45269,The King's Speech,5.41E+01,9/6/2010
16,Dancer in the Dark,2.20E+01,5/17/2000
2270,Stardust,4.80E+01,8/9/2007
191229,Iguana,2.15E-01,4/1/1988
8850,The Shadow,8.18E+00,7/1/1994
14057,Trust the Man,5.26E+00,9/1/2005
29076,Gun Shy,3.99E+00,2/4/2000
15122,Love Stinks,3.35E+00,9/10/1999
7512,Idiocracy,2.79E+01,9/1/2006
11397,Not Another Teen Movie,2.34E+01,12/7/2001
9454,Ever After: A Cinderella Story,2.20E+01,7/31/1998
46261,Don't Be Afraid of the Dark,1.46E+01,11/6/2010
1259,Notes on a Scandal,1.26E+01,12/25/2006
16172,Simply Irresistible,5.70E+00,2/5/1999
49018,Insidious,5.86E+01,9/13/2010
38810,Dogtooth,2.89E+01,6/1/2009
318846,The Big Short,5.75E+01,12/11/2015
3291,"Good Night, and Good Luck.",1.77E+01,9/16/2005
8676,Fool's Gold,2.18E+01,2/7/2008
1909,Don Juan DeMarco,8.87E+00,10/1/1994
310,Bruce Almighty,1.10E+02,5/23/2003
9598,Babe,3.44E+01,7/18/1995
3902,I'm Not There.,1.30E+01,10/1/2007
1717,All the King's Men,7.77E+00,9/10/2006
270938,Falcon Rising,6.99E+00,9/5/2014
14054,Snow Angels,4.26E+00,3/7/2008
9916,The Last Sin Eater,2.37E+00,2/9/2007
12228,Inside Deep Throat,3.98E+00,2/11/2005
979,Irreversible,3.25E+01,5/22/2002
18808,Highway,3.42E+00,1/1/2002
4234,Scream 3,2.50E+01,2/3/2000
110415,Snowpiercer,6.42E+01,8/1/2013
10663,The Waterboy,2.38E+01,11/6/1998
10048,Stealth,1.79E+01,7/28/2005
1499,Teenage Mutant Ninja Turtles III,1.02E+01,3/17/1993
10930,The Flower of Evil,1.23E+00,2/9/2003
4477,The Devil's Own,1.54E+01,3/12/1997
146269,The Young Unknowns,4.92E-03,3/12/2000
4147,Road to Perdition,4.91E+01,7/12/2002
24663,The Open Road,1.39E+00,2/7/2009
77174,ParaNorman,3.95E+01,8/3/2012
11452,National Lampoon’s Van Wilder,3.51E+01,3/29/2002
8835,Legally Blonde,2.54E+01,7/13/2001
5072,Severance,1.29E+01,5/19/2006
345003,10 Days in a Madhouse,4.89E-01,11/20/2015
129670,Nebraska,2.92E+01,9/21/2013
104755,The Lords of Salem,1.45E+01,9/10/2012
193722,R100,3.21E+00,10/5/2013
335778,Risen,1.67E+01,2/19/2016
621,Grease,6.76E+01,7/7/1978
152532,Dallas Buyers Club,5.95E+01,9/7/2013
9381,Babylon A.D.,2.76E+01,8/20/2008
10569,Small Time Crooks,1.14E+01,5/19/2000
6440,The Shipping News,1.11E+01,12/18/2001
745,The Sixth Sense,7.31E+01,8/6/1999
13551,The Dead Girl,3.07E+00,11/7/2006
1088,Whale Rider,1.24E+01,1/30/2003
38363,Fair Game,1.26E+01,5/20/2010
38031,You Will Meet a Tall Dark Stranger,1.25E+01,5/23/2010
189,Sin City: A Dame to Kill For,8.54E+01,8/20/2014
17908,My Dog Skip,5.68E+00,1/14/2000
8875,Timber Falls,3.69E+00,12/7/2007
20526,TRON: Legacy,7.38E+01,12/10/2010
13435,Antwone Fisher,1.34E+01,12/19/2002
134374,Pain & Gain,3.19E+01,4/18/2013
9286,Final Destination 3,3.16E+01,2/10/2006
12103,Don't Say a Word,1.16E+01,9/28/2001
320435,UnDivided,1.06E-02,2/1/2013
