Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
IndiGo,NaN,Delhi,Cochin,DEL → MAA → COK,2:00,7:25,1 stop,No info,5636,5.417
Jet Airways,6/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,6/7/2025 4:25,2 stops,No info,13014,18.75
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,1 stop,In-flight meal not included,7064,NaN
Jet Airways,24/05/2019,Kolkata,NaN,CCU → DEL → BLR,20:25,5/25/2025 14:25,1 stop,In-flight meal not included,10703,18
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,1 stop,No info,9646,9.25
Multiple carriers,6/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,13:20,1 stop,No info,NaN,11.083
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,3/13/2025 10:25,1 stop,No info,13817,17.5
Air India,6/3/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,19:15,2 stops,No info,13748,13.333
Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,non-stop,No info,4880,2.583
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,5:15,7:40,non-stop,No info,3540,2.417
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,non-stop,No check-in baggage included,3257,2.667
Jet Airways,3/6/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,non-stop,In-flight meal not included,6478,3
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,7:05,8:30,non-stop,No info,8040,1.417
Jet Airways,12/6/2019,Delhi,Cochin,NaN,20:00,NaN,2 stops,No info,14300,16.583
Jet Airways,15/05/2019,Kolkata,NaN,CCU → BOM → BLR,8:25,20:45,1 stop,NaN,NaN,12.333
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,6/10/2025 8:15,1 stop,No info,NaN,12.25
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/25/2025 4:25,1 stop,In-flight meal not included,10262,7.5
Air India,12/5/2019,NaN,Banglore,CCU → MAA → BLR,14:35,5/13/2025 14:35,1 stop,No info,6528,24
Air India,1/5/2019,Banglore,Delhi,BLR → DEL,6:10,8:55,non-stop,No info,6121,2.75
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,5/19/2025 4:25,2 stops,In-flight meal not included,13029,8.917
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,1 stop,No info,11421,7.167
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,4:45,19:15,1 stop,No info,7574,14.5
Air India,9/5/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,5/10/2025 19:15,2 stops,No info,11596,30.333
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,5/25/2025 19:00,2 stops,No info,15129,19.917
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,3/16/2025 5:05,1 stop,No info,13555,15
NaN,12/4/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,non-stop,No info,5780,2.917
Vistara,12/5/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,5/13/2025 9:05,1 stop,No info,9397,12.75
Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,18:15,3/7/2025 4:25,1 stop,No info,17024,10.167
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:55,1 stop,No info,5281,NaN
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,7:05,22:30,1 stop,No info,10348,15.417
Air India,6/3/2019,Delhi,Cochin,DEL → MAA → COK,17:20,3/7/2025 9:25,1 stop,No info,12677,16.083
Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,15:25,3/4/2025 1:35,1 stop,No info,15147,10.167
Vistara,12/6/2019,Banglore,Delhi,BLR → DEL,7:00,9:40,non-stop,No info,4668,2.667
Jet Airways,9/5/2019,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,1 stop,No info,15554,11.917
SpiceJet,9/4/2019,Banglore,Delhi,BLR → DEL,NaN,8:35,non-stop,NaN,3971,2.667
Air India,3/5/2019,Mumbai,Hyderabad,BOM → HYD,15:00,NaN,non-stop,No info,3100,1.417
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/7/2025 10:05,1 stop,In-flight meal not included,9663,14.083
Air India,1/3/2019,Delhi,Cochin,DEL → BOM → COK,23:00,3/2/2025 19:15,1 stop,No info,NaN,20.25
IndiGo,12/5/2019,Chennai,Kolkata,MAA → CCU,5:15,7:40,non-stop,No info,3540,2.417
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,5/22/2025 11:10,2 stops,No info,10676,23.167
Jet Airways,12/6/2019,NaN,Banglore,CCU → BOM → BLR,14:05,6/13/2025 8:15,1 stop,No info,13044,18.167
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/7/2025 12:00,1 stop,No info,14388,16
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,non-stop,No info,3943,2.833
IndiGo,NaN,Chennai,Kolkata,MAA → CCU,14:45,17:05,non-stop,No info,3597,2.333
Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,NaN,19:50,1 stop,No info,5932,8
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,6/16/2025 4:25,1 stop,In-flight meal not included,10262,16.917
Vistara,12/5/2019,Delhi,Cochin,DEL → COK,14:40,17:50,non-stop,No info,6216,3.167
IndiGo,15/06/2019,Kolkata,NaN,CCU → BLR,20:25,23:10,non-stop,No info,4804,2.75
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,5/22/2025 1:30,1 stop,No info,14067,14
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,5/19/2025 19:00,2 stops,No info,15129,23.833
Jet Airways,6/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,6:45,6/7/2025 4:25,2 stops,No info,13376,21.667
Air India,NaN,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,6/28/2025 19:15,2 stops,No info,10441,21.25
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,6:00,8:45,NaN,In-flight meal not included,4030,2.75
Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,18:50,1 stop,No info,17024,10.833
Multiple carriers,9/4/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,1 stop,NaN,13017,8
GoAir,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,6/7/2025 7:45,1 stop,No info,6686,8.25
IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,2:00,7:25,1 stop,No info,5636,5.417
IndiGo,9/6/2019,Delhi,Cochin,NaN,7:35,16:10,1 stop,No info,6442,8.583
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,5/22/2025 0:55,1 stop,No info,9486,11.833
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/22/2025 23:35,1 stop,In-flight meal not included,10844,27.583
Jet Airways,3/6/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,6/4/2025 4:25,2 stops,In-flight meal not included,15318,8.417
Air India,3/4/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,1 stop,No info,5117,20.917
NaN,24/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,1 stop,No info,6147,4.833
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,1 stop,No info,7005,8.167
SpiceJet,3/4/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,non-stop,No info,3873,2.333
NaN,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,3/22/2025 18:50,2 stops,In-flight meal not included,9270,24.417
GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,non-stop,No info,3898,2.833
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,1 stop,No info,14781,12.333
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/25/2025 8:15,1 stop,In-flight meal not included,8586,12.25
Air India,9/5/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,8:20,5/10/2025 7:55,2 stops,No info,10697,23.583
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,6/28/2025 12:35,2 stops,No info,NaN,16.583
IndiGo,3/3/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,non-stop,No info,8855,2.833
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,5/13/2025 18:15,1 stop,In-flight meal not included,10844,25.75
Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,3/7/2025 4:25,1 stop,No info,17024,26.167
Jet Airways,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,5/2/2025 14:25,1 stop,NaN,9314,28.833
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,0:40,3:25,non-stop,No info,4777,2.75
Air India,9/6/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,6/10/2025 13:15,1 stop,No info,7662,25.25
IndiGo,9/5/2019,Delhi,Cochin,DEL → HYD → COK,6:50,16:10,1 stop,No info,6442,9.333
SpiceJet,12/6/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,1 stop,No info,5264,4.5
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,5/28/2025 4:25,1 stop,In-flight meal not included,12898,15.417
Air India,3/3/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,non-stop,No info,6092,1.5
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,5:55,8:35,non-stop,No info,3311,2.667
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,3/28/2025 4:25,1 stop,In-flight meal not included,6540,9.167
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,1:30,4:15,non-stop,No info,3419,2.75
Jet Airways,3/4/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,1 stop,In-flight meal not included,5177,22.583
Air India,18/04/2019,Delhi,Cochin,DEL → COK,18:05,21:10,non-stop,No info,8246,3.083
Jet Airways,NaN,Kolkata,Banglore,CCU → DEL → BLR,9:35,21:05,1 stop,No info,14676,11.5
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,1 stop,No info,13587,9.5
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,5/7/2025 9:20,1 stop,In-flight meal not included,9663,12.167
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,6/13/2025 10:05,1 stop,No info,13044,NaN
IndiGo,3/4/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,1 stop,No info,5073,5.083
Vistara,21/05/2019,Kolkata,NaN,CCU → DEL → BLR,17:00,5/22/2025 18:50,1 stop,No info,9345,25.833
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,5/7/2025 10:05,1 stop,In-flight meal not included,9663,20
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,8:00,21:00,1 stop,No info,14277,13
Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,NaN,6/2/2025 4:25,1 stop,NaN,10262,18.417
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,No info,NaN,1.5
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5/16/2025 1:30,1 stop,No info,13727,9.5
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/7/2025 12:00,1 stop,In-flight meal not included,9663,16
IndiGo,12/5/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,NaN,No info,NaN,2.333
NaN,24/06/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,1 stop,No info,4812,4.5
IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,6/28/2025 3:35,1 stop,No info,5775,5.75
Jet Airways,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,6/7/2025 9:45,1 stop,In-flight meal not included,10539,24.167
IndiGo,3/6/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,4804,2.583
Air Asia,12/6/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,non-stop,No info,3383,2.75
IndiGo,3/3/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,1 stop,No info,8738,4.917
Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,5:15,3/28/2025 6:50,1 stop,No info,7165,25.583
IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,1 stop,No info,6412,6.333
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,non-stop,No info,8016,3.083
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,3/13/2025 15:15,1 stop,In-flight meal not included,11087,18.667
SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,9:45,12:00,non-stop,NaN,3543,2.25
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,6/13/2025 4:40,1 stop,No info,12471,12.167
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,9:00,NaN,1 stop,In-flight meal not included,10262,19.417
Air India,18/03/2019,Banglore,New Delhi,NaN,13:20,16:10,non-stop,No info,4441,2.833
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,7:05,15:30,1 stop,No info,NaN,8.417
GoAir,24/03/2019,Kolkata,NaN,CCU → BOM → BLR,22:25,3/25/2025 7:40,1 stop,NaN,10091,9.25
Air India,3/6/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,non-stop,No info,NaN,2.833
IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,5:35,8:50,non-stop,No info,5013,3.25
Air India,18/05/2019,Delhi,Cochin,DEL → COK,5:10,8:00,non-stop,No info,6934,2.833
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,6:40,19:00,1 stop,No info,10877,12.333
Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,7229,2.917
IndiGo,27/03/2019,NaN,Cochin,DEL → BOM → COK,16:00,3/28/2025 1:35,1 stop,No info,7048,9.583
Vistara,27/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,NaN,No info,4878,2.583
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,1 stop,In-flight meal not included,10844,9.5
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,5/20/2025 4:25,2 stops,No info,15129,29.333
IndiGo,12/5/2019,Banglore,Delhi,BLR → DEL,0:30,3:25,non-stop,No info,3943,2.917
SpiceJet,6/6/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,1 stop,No info,5583,5.25
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → HYD → COK,7:05,16:10,1 stop,No info,9646,9.083
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,8:30,19:15,1 stop,No info,7677,10.75
IndiGo,1/6/2019,Delhi,Cochin,NaN,5:10,10:05,1 stop,No info,6842,4.917
Jet Airways,NaN,Mumbai,Hyderabad,BOM → HYD,8:45,10:15,non-stop,In-flight meal not included,4995,1.5
Vistara,9/6/2019,Kolkata,Banglore,CCU → DEL → BLR,7:10,18:50,1 stop,No info,9555,11.667
IndiGo,1/6/2019,Banglore,Delhi,BLR → DEL,1:30,4:15,non-stop,No info,4077,2.75
Jet Airways,12/5/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,No info,7229,2.917
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,9:00,19:00,1 stop,No info,12192,10
Air India,12/4/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,non-stop,NaN,5911,2.75
Air India,12/6/2019,Delhi,NaN,DEL → BOM → COK,9:00,19:15,1 stop,No info,8372,10.25
NaN,18/03/2019,Mumbai,Hyderabad,BOM → HYD,7:10,8:35,non-stop,In-flight meal not included,4995,1.417
Multiple carriers,9/5/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,1 stop,No info,14323,9.25
Jet Airways,9/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,6/10/2025 4:25,2 stops,No info,13014,22.917
Air India,6/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,6/7/2025 19:15,2 stops,No info,13591,28.833
NaN,3/3/2019,Delhi,Cochin,DEL → IDR → BOM → COK,5:25,3/4/2025 18:50,2 stops,No info,18799,37.417
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 28 Apr,non-stop,No info,3943,2.833
SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM → HYD,5:45,7:15,non-stop,No check-in baggage included,1965,NaN
